,brand_name,brand_link,#_of_images
278,KIA,https://www.advertgallery.com/product-category/advertisements-by-brand/kia/,7
279,KISSAN,https://www.advertgallery.com/product-category/advertisements-by-brand/kissan/,6
280,KOOVS,https://www.advertgallery.com/product-category/advertisements-by-brand/koovs/,1
281,KOTAK MAHINDRA BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/kotak-mahindra-bank/,13
282,KURLON,https://www.advertgallery.com/product-category/advertisements-by-brand/kurlon/,29
283,KWALITY,https://www.advertgallery.com/product-category/advertisements-by-brand/kwality/,6
284,KWALITY WALLS,https://www.advertgallery.com/product-category/advertisements-by-brand/kwality-walls/,2
285,LALITHAA JEWELLERS,https://www.advertgallery.com/product-category/advertisements-by-brand/lalithaa-jewellers/,18
286,LAND ROVER,https://www.advertgallery.com/product-category/advertisements-by-brand/land-rover/,20
287,LAWRENCE & MAYO,https://www.advertgallery.com/product-category/advertisements-by-brand/lawrence-mayo/,6
288,LEE COOPER,https://www.advertgallery.com/product-category/advertisements-by-brand/lee-cooper-advertisements/,1
289,LEECO,https://www.advertgallery.com/product-category/advertisements-by-brand/leeco-mobiles-advertisements/,1
290,LENOVO,https://www.advertgallery.com/product-category/advertisements-by-brand/lenovo/,9
291,LEVI'S,https://www.advertgallery.com/product-category/advertisements-by-brand/levis/,14
292,LEXUS,https://www.advertgallery.com/product-category/advertisements-by-brand/lexus/,14
293,LG,https://www.advertgallery.com/product-category/advertisements-by-brand/lg-advertisements-newspaper/,64
294,LIC,https://www.advertgallery.com/product-category/advertisements-by-brand/life-insurance-corporation-newspaper-advertisements/,92
295,LIFE SPAN,https://www.advertgallery.com/product-category/advertisements-by-brand/life-span/,43
